
Test passed: a_in = 0100, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0100, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0100, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0100, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0101, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0101, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0101, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0101, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0101, b_in = 0101, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 0101, b_in = 0110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 0111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1000, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1001, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1010, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1011, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0101, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0110, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0110, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0110, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0110, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0110, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0110, b_in = 0110, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 0110, b_in = 0111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1000, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1001, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1010, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1011, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0110, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0111, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0111, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0111, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0111, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0111, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0111, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 0111, b_in = 0111, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 0111, b_in = 1000, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 1001, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 1010, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 1011, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 0111, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1000, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1000, b_in = 1000, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 1000, b_in = 1001, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1000, b_in = 1010, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1000, b_in = 1011, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1000, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1000, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1000, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1000, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1001, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 1000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1001, b_in = 1001, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 1001, b_in = 1010, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1001, b_in = 1011, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1001, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1001, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1001, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1001, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1010, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 1000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 1001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1010, b_in = 1010, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 1010, b_in = 1011, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1010, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1010, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1010, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1010, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1011, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 1000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 1001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 1010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1011, b_in = 1011, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 1011, b_in = 1100, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1011, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1011, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1011, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1100, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 1000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 1001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 1010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 1011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1100, b_in = 1100, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 1100, b_in = 1101, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1100, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1100, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1101, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 1000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 1001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 1010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 1011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 1100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1101, b_in = 1101, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 1101, b_in = 1110, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1101, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1110, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 1000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 1001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 1010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 1011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 1100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 1101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1110, b_in = 1110, f1 = 0, f2 = 0, f3 = 1
Test passed: a_in = 1110, b_in = 1111, f1 = 0, f2 = 1, f3 = 0
Test passed: a_in = 1111, b_in = 0000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 0001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 0010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 0011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 0100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 0101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 0110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 0111, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1000, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1001, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1010, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1011, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1100, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1101, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1110, f1 = 1, f2 = 0, f3 = 0
Test passed: a_in = 1111, b_in = 1111, f1 = 0, f2 = 0, f3 = 1
